A,B,C,D,E,F,G,H,I,J,K,L,M
6.442945454,5.84217214,1.933426483,2.289899695,4.058889548,4.538506983,1.549331258,5.796376276,1.302884435,6.485999402,6.872138847,6.852133279,1.284667214
7.063327126,7.481877407,9.686159811,5.652828358,9.70705642,3.626818086,3.094334201,2.262508399,3.137460332,5.013379722,7.925319054,3.800500832,2.932611513
2.635854865,7.179773634,9.220767522,4.279242313,4.58406129,7.34980617,6.187927922,3.23954571,2.639551523,9.117762004,9.039257212,5.350884665,9.114977635
2.922266019,1.124643761,7.391955312,7.503548079,2.632634927,1.562932723,4.487025104,1.076764599,9.233126798,3.242073669,4.80874524,9.289037081,7.822094311
9.488347571,5.231902575,2.055401779,4.301438323,7.325642266,3.785247956,5.806899471,6.493113262,9.658284571,7.239394101,4.470926509,5.773975847,9.27259475
4.867204933,6.71926276,5.208477242,5.577158858,9.596835866,6.787889551,7.082115625,4.343681442,8.743897866,8.163813541,8.934234581,2.641017992,1.771321498
5.12003699,3.043005353,6.710107365,8.716600549,5.523519111,6.718650525,2.161763473,6.683822577,4.557374699,5.383259008,2.684429265,4.932778929,3.201907096
2.900648608,3.352875257,9.710976972,9.559940189,5.518985208,4.946975517,6.58731637,6.901234501,7.155581246,6.706316082,9.803731676,7.00279421,8.454202145
3.564436265,8.377528699,2.781720968,9.668713314,8.482427384,4.05202636,8.287637824,1.238523234,8.826924008,2.165657665,9.020039497,6.400896897,6.320650736
8.877458638,1.975465132,1.43998384,5.799308576,1.744033364,5.731274272,3.586862604,2.964109009,2.269145424,5.051633104,4.927481335,8.036003224,2.846826435
8.0178898,1.970866644,6.138615788,4.897788526,4.431073195,1.746323183,4.507738293,9.430763986,1.139107479,6.840550412,5.848338471,4.62765626,8.611593568
9.384442103,4.17258113,5.739043806,9.410788316,2.615087194,8.717084518,8.872669451,4.71954336,8.459585242,4.615994444,3.981531168,5.842640631,1.45243804
3.864559619,1.942641021,5.815991562,2.800600389,4.459894178,1.061984615,2.838330394,2.162458212,9.282070588,1.157483719,6.053059785,8.084173118,4.344877991
6.537096999,8.243908252,6.10527572,2.759471375,4.955995955,6.963884504,5.66279785,3.342319986,1.019771019,3.312761625,3.919317739,9.130056419,8.283624204
7.881248202,1.28976,6.377902986,7.382520911,2.1935597,8.309121371,8.952801217,9.545660276,3.34286594,4.53000917,6.479247521,7.863883465,6.179385906
6.759173949,4.139131093,3.720677748,1.849195203,5.4286138,6.880669021,3.460920475,1.887274955,7.430048843,9.616036708,7.64927491,8.119733894,3.227845338
8.101369751,2.832923048,6.816115051,2.242102478,5.108641301,7.41277873,7.930308896,3.966326634,7.723517851,4.85867126,8.680044739,1.319748305,7.45919108
